episode,mean_global_reward,steps,gate_fraction,scenario_id
580,-0.7732,180,0.289,am_peak
581,-1.0355,180,0.312,pm_peak
582,-0.8151,180,0.301,
583,-0.9255,180,0.308,
584,-0.6986,180,0.303,
585,-0.9934,180,0.336,pm_peak
586,-0.7702,180,0.319,demand_surge
587,-0.8425,180,0.318,midday_multimodal
588,-0.6251,180,0.3,am_peak
589,-0.8853,180,0.302,pm_peak
590,-0.8369,180,0.315,
591,-1.0283,180,0.336,
592,-0.6889,180,0.303,
593,-0.9175,180,0.306,pm_peak
594,-0.7396,180,0.306,demand_surge
595,-0.8601,180,0.322,midday_multimodal
596,-0.7624,180,0.296,am_peak
597,-0.8902,180,0.292,pm_peak
598,-0.7309,180,0.303,
599,-0.9616,180,0.32,
